"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"R16","33k","R_0402_1005Metric","136.358100","-102.636600","0.000000","top"
"R17","33k","R_0402_1005Metric","136.380000","-104.626700","180.000000","top"
"R18","33k","R_0402_1005Metric","99.140000","-75.506668","-90.000000","top"
"R19","33k","R_0402_1005Metric","97.870000","-75.496668","-90.000000","top"
"R20","33k","R_0402_1005Metric","106.600000","-75.316668","-90.000000","top"
"R23","33k","R_0402_1005Metric","104.690000","-75.756668","180.000000","top"
"R24","33k","R_0402_1005Metric","100.600000","-75.503468","-90.000000","top"
"R25","2.2k","R_0402_1005Metric","84.467990","-57.023195","0.000000","top"
"R26","33k","R_0402_1005Metric","108.880000","-74.656668","0.000000","top"
"R27","100k","R_0402_1005Metric","93.870000","-82.626700","0.000000","top"
"R28","330","R_0402_1005Metric","93.880000","-84.126700","180.000000","top"
"R29","2.2k","R_0402_1005Metric","84.467990","-55.523195","0.000000","top"
"R30","2.2k","R_0402_1005Metric","84.487990","-54.023195","0.000000","top"
"R31","10k","R_0402_1005Metric","141.050000","-94.536668","0.000000","top"
"R32","10k","R_0402_1005Metric","141.310000","-90.776668","0.000000","top"
"R33","10k","R_0402_1005Metric","73.110000","-98.596668","90.000000","top"
"R34","10k","R_0402_1005Metric","72.120000","-98.596668","90.000000","top"
"R35","22","R_0402_1005Metric","78.370000","-103.626700","180.000000","top"
"R36","2.2k","R_0402_1005Metric","128.466300","-48.459068","180.000000","top"
"R37","2.2k","R_0402_1005Metric","128.466300","-50.459068","180.000000","top"
"R38","10k","R_0402_1005Metric","71.534200","-61.762068","180.000000","top"
"SW1","SMD_4.6x2.8mm","Push_SMD_4.6x2.8mm_h1.9mm","129.380000","-62.626700","0.000000","top"
"SW2","SMD_4.6x2.8mm","Push_SMD_4.6x2.8mm_h1.9mm","129.380000","-68.626700","0.000000","top"
"SW3","SMD_4.6x2.8mm","Push_SMD_4.6x2.8mm_h1.9mm","75.826800","-61.685868","0.000000","top"
"TP1","0.5mm","TestPoint-0.5mm","117.780000","-111.626700","0.000000","top"
"TP2","0.5mm","TestPoint-0.5mm","117.780000","-113.242400","0.000000","top"
"TP3","0.5mm","TestPoint-0.5mm","74.380000","-90.126700","0.000000","top"
"TP4","0.5mm","TestPoint-0.5mm","69.880000","-90.126700","0.000000","top"
"TP5","0.5mm","TestPoint-0.5mm","72.380000","-90.126700","0.000000","top"
"TP6","0.5mm","TestPoint-0.5mm","134.080000","-57.276668","0.000000","top"
"TP7","0.5mm","TestPoint-0.5mm","153.510000","-87.956668","0.000000","top"
"TP8","0.5mm","TestPoint-0.5mm","135.680000","-57.306668","0.000000","top"
"U1","STM32U5G7VJTxQ","LQFP-100_14x14mm_P0.5mm","117.880000","-86.126700","45.000000","top"
"U2","TPS629210DRLR","SOT50P160X60-8N","129.645000","-117.376700","0.000000","top"
"U3","BQ25186","IC_BQ25185DLHR","131.880000","-103.136700","90.000000","top"
"U4","TLV75733PDRV","WDFN-6_2x2mm","127.880000","-101.626700","0.000000","top"
"U5","E80-900M2213S","E80-x00M2213S","107.780000","-120.126700","0.000000","top"
"U6","FDV304P","SOT23-3","93.580000","-79.626700","0.000000","top"
"U7","L86-M33","XCVR_L86-M33","77.630000","-77.776700","0.000000","top"
"U8","LIS2HH12","LGA-12_2x2mm_P0.5mm","141.007500","-92.606668","0.000000","top"
"U9","LIS2MDL","LGA-12_2x2mm_P0.5mm","137.180000","-92.634168","0.000000","top"
"U10","CPT-9019A-SMT-TR","XDCR_CPT-9019A-SMT-TR","82.880000","-109.126700","0.000000","top"
"Y1","ABM8AIG-16.000MHZ-12-2Z-T3","XTAL_ABM8AIG-16.000MHZ-12-2Z-T3","109.402903","-96.264200","45.000000","top"
"Y2","32.768kHz ABS07-32.768KHZ-T","Crystal_SMD_3.2x1.5mm","107.905000","-90.551668","-45.000000","top"
