"Reference","Value","Footprint","Description","Q_SUPPLIER","Q_SUPPLIER_PN","MF","MP","LCSC"
"C53","4.7uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","4.7uF 0402 6.3V capacitor unpolarized","QUICK-TECK","QCC-00294","SAMSUNG (GENERIC)","CL05A475MP5NRNC","C23733"
"C54","0.1uF","PCM_SparkFun-Capacitor:C_0402_1005Metric","0.1uF 0402 16V capacitor unpolarized","QUICK-TECK","QCC-00426","MURATA (GENERIC)","GRM155R71H104KE14D","C77020"
"D1","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D2","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D3","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D4","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D5","MBR130T1G","SOD-123 MBR0530T1G:DIO_MBR0530T1G","MBR130T1G SOD123 1A 30V schottky diode","LCSC","C82461","ON Semiconductor","MBR130T1G","C82461"
"D8","Blue","PCM_SparkFun-LED:LED_0603_1608Metric_Blue","0603 blue LED","QUICK-TECK","QCD-00046","YONGYUTAI","YLED0603B","C19171394"
"D9","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","0603 red LED","QUICK-TECK","QCD-00045","YONGYUTAI","YLED0603R","C19171390"
"D10","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","0603 green LED","QUICK-TECK","QCD-00048","YONGYUTAI","YLED0603G","C19273151"
"D11","Red","PCM_SparkFun-LED:LED_0603_1608Metric_Red","0603 red LED","QUICK-TECK","QCD-00045","YONGYUTAI","YLED0603R","C19171390"
"D12","Green","PCM_SparkFun-LED:LED_0603_1608Metric_Green","0603 green LED","QUICK-TECK","QCD-00048","YONGYUTAI","YLED0603G","C19273151"
"J1","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","Screw terminal PCB mount 3.5mm pitch 2 terminals","LCSC","C695629","DORABO","DB301V-3.5-2P-GN-S","C695629"
"J2","3.5mm","PCM_SparkFun-Connector:ScrewTerminal_1x02_P3.5mm_Horizontal_Black","Screw terminal PCB mount 3.5mm pitch 2 terminals","LCSC","C695629","DORABO","DB301V-3.5-2P-GN-S","C695629"
"J3","USB_C_Receptacle","PCM_SparkFun-Connector:USB-C_16","USB 2.0-only Type-C Receptacle connector","LCSC","C2988369","G-Switch","GT-USB-7010ASV","C2988369"
"J4","B2B-PH-SM4-TB","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB","JST 2 pin terminal 2mm pitch vertical entry SMD","LCSC","C160352","JST","B2B-PH-SM4-TB","C160352"
